"Date","Fire District Number","Fire Station Latitude","Fire Station Longitude","Count of EMS Incidents"
01/05/2018,35,34.100218,-118.287747,26
01/05/2018,36,33.753086,-118.293442,3
01/05/2018,37,34.059994,-118.449106,7
01/05/2018,38,33.781007,-118.261696,12
01/05/2018,39,34.179692,-118.45123,20
01/05/2018,41,34.096906,-118.353152,11
01/05/2018,42,34.139484,-118.210732,3
01/05/2018,43,34.023085,-118.405545,11
01/05/2018,44,34.096851,-118.230978,2
01/05/2018,46,34.004251,-118.286789,36
01/05/2018,47,34.085462,-118.186955,5
01/05/2018,48,33.729689,-118.290499,13
01/05/2018,49,33.765686,-118.255566,1
01/05/2018,50,34.115339,-118.244565,3
01/05/2018,51,33.940485,-118.39719,28
01/05/2018,52,34.08375,-118.308475,8
01/05/2018,55,34.124161,-118.219367,6
01/05/2018,56,34.107571,-118.263623,7
01/05/2018,57,33.968768,-118.291206,32
01/05/2018,58,34.0507,-118.383968,15
01/05/2018,59,34.036674,-118.444383,17
01/05/2018,60,34.167502,-118.378611,18
01/05/2018,61,34.069412,-118.347084,20
01/05/2018,62,34.00588,-118.428172,8
01/05/2018,63,33.991125,-118.458376,12
01/05/2018,64,33.938031,-118.274328,41
01/05/2018,65,33.946056,-118.24026,18
01/05/2018,66,33.989419,-118.311565,41
01/05/2018,67,33.974214,-118.428497,12
01/05/2018,68,34.041026,-118.349247,13
01/05/2018,69,34.044571,-118.5219,2
01/05/2018,70,34.24943,-118.536421,10
01/05/2018,71,34.080521,-118.435531,6
01/05/2018,72,34.193951,-118.588767,18
01/05/2018,73,34.20514,-118.536378,10
01/05/2018,74,34.258651,-118.301788,7
01/05/2018,75,34.272461,-118.466578,13
01/05/2018,76,34.126695,-118.345813,7
01/05/2018,77,34.236294,-118.366945,11
01/05/2018,78,34.144448,-118.405751,9
01/05/2018,79,33.868443,-118.290297,11
01/05/2018,81,34.213341,-118.44427,22
01/05/2018,82,34.102046,-118.315456,10
01/05/2018,83,34.161048,-118.500588,10
01/05/2018,84,34.172778,-118.591467,8
01/05/2018,85,33.795022,-118.300029,8
01/05/2018,86,34.150324,-118.370214,9
01/05/2018,87,34.254726,-118.50172,15
01/05/2018,88,34.163057,-118.466493,18
01/05/2018,89,34.199116,-118.396805,25
01/05/2018,90,34.214381,-118.48401,15
01/05/2018,91,34.309405,-118.447217,18
01/05/2018,92,34.044045,-118.420373,10
01/05/2018,93,34.17282,-118.548836,19
01/05/2018,94,34.017567,-118.345386,30
01/05/2018,95,33.94533,-118.381234,5
01/05/2018,96,34.247355,-118.603049,9
